Nama orang,Pangkat,talent_cluster,indeks_kesehatan,nilai_Kompetensi,nilai_Behavior,absen_tertekan,absen_nyaman,absen_semangat,engagement_ucapan,engagement_tinggal,engagement_berjuang,performansi_individu
1,III,POTENTIAL,C,1.22,4.27,1,0,182,5,5,5.33,#N/A
2,II,POTENTIAL,0,0.88,4.02,0,1,62,7,7,7,#N/A
3,IV,POTENTIAL,0,1.14,3.77,0,0,113,5,5.67,6,#N/A
4,IV,POTENTIAL,B1,1.29,4.5,0,2,156,5,5,6,96.96
5,IV,POTENTIAL,B2,1.37,4.17,1,229,1,6.67,5.67,5.67,96.7
6,V,POTENTIAL,B3,0.97,3.58,0,64,167,7,7,7,#N/A
7,IV,POTENTIAL,B2,1.19,3.81,0,15,151,7,7,7,#N/A
8,IV,POTENTIAL,B3,1.15,3.53,0,109,102,7,6.33,7,#N/A
9,IV,POTENTIAL,B2,0.85,3.85,0,0,171,6.33,7,6,99.27
10,V,POTENTIAL,B3,0.09,2.64,0,1,232,6.67,6,7,#N/A
11,V,POTENTIAL,B1,1.15,3.53,0,64,103,4.33,6.67,6.67,97.39
12,V,POTENTIAL,B3,0.82,3.67,0,140,42,6.67,7,7,#N/A
13,IV,HIGH POTENTIAL,B2,0.96,3.66,0,0,223,6,7,7,99.69
14,IV,POTENTIAL,B3,1.25,4.24,0,2,223,6.67,7,7,#N/A
15,V,POTENTIAL,B1,1.47,4.41,0,5,214,6,6,6,#N/A
16,IV,POTENTIAL,B2,1.25,4.28,0,0,224,5,5,5,96.03
17,IV,POTENTIAL,B2,1.02,3.24,0,8,169,7,6.67,7,#N/A
18,IV,POTENTIAL,B3,1.13,3.64,0,0,195,5,6,5.33,#N/A
19,IV,POTENTIAL,B3,1.33,4.28,1,122,52,7,7,7,98.12
20,III,POTENTIAL,B3,1.12,4.23,39,1,172,5.33,6.67,6.33,99.04
21,IV,POTENTIAL,B2,1.03,3.73,1,2,54,6,6.33,6,#N/A
22,IV,POTENTIAL,A,1.46,4.13,0,0,181,7,7,7,85.26
23,IV,POTENTIAL,B2,0.98,3.74,1,1,154,6,5.67,6,#N/A
24,IV,POTENTIAL,B1,1.31,4.29,0,0,157,5.33,5.33,5.33,#N/A
25,IV,POTENTIAL,C,1.2,4.52,0,1,199,6.67,6.33,7,#N/A
26,IV,POTENTIAL,B3,1.23,3.71,0,121,40,6,6.33,6.33,#N/A
27,IV,POTENTIAL,B1,0.88,3.19,3,0,153,6.67,7,7,103.68
28,V,POTENTIAL,B2,1.23,4.03,0,0,216,6,6.67,7,#N/A
29,V,POTENTIAL,B1,1.18,3.84,0,3,222,6,6.33,6.33,#N/A
30,V,POTENTIAL,B2,1.29,4.11,0,0,181,5.67,6.67,6,#N/A
31,IV,POTENTIAL,B3,0.88,3.93,0,4,190,5,5.67,5.33,#N/A
32,IV,POTENTIAL,B2,1.3,4.22,1,2,210,5.67,6.67,6,99.36
33,V,POTENTIAL,B3,1.36,3.98,0,0,225,5.33,5.67,7,97.05
34,V,POTENTIAL,B3,1.14,3.74,0,0,168,5,6,6,#N/A
35,IV,POTENTIAL,C,1.07,3.86,0,0,153,6.67,6.67,6.67,97.05
36,II,POTENTIAL,B1,1.05,4.24,0,8,186,5.67,5.67,6,#N/A
37,IV,POTENTIAL,B3,1.18,3.87,0,0,233,5,5,5,#N/A
38,V,POTENTIAL,C,0.18,2.48,0,130,48,5,5,5,#N/A
39,IV,POTENTIAL,C,1.03,3.43,1,0,213,5.33,6.33,6,#N/A
40,IV,POTENTIAL,B3,1.24,3.92,0,0,193,6,6,6,#N/A
41,V,HIGH POTENTIAL,B3,0.99,3.5,0,1,156,5,5,5.33,#N/A
42,V,POTENTIAL,B3,1.36,3.52,0,8,219,5.33,6,6.67,103.19
43,IV,POTENTIAL,B2,1.01,3.63,0,0,219,6,6.67,6.33,99.99
44,IV,POTENTIAL,B1,0.84,4.12,0,0,203,6,7,7,97.99
45,III,POTENTIAL,0,0.97,4.09,#N/A,#N/A,#N/A,6.67,6.67,6,#N/A
46,III,POTENTIAL,B1,1.28,4.45,0,1,213,6.33,6.67,6,99.04
47,IV,POTENTIAL,B1,1.28,3.97,25,7,201,4.33,6.67,7,98.4
48,V,POTENTIAL,B3,1.21,4.08,0,1,182,7,6.67,6.67,#N/A
49,V,POTENTIAL,B3,1.29,4.1,0,1,236,4,7,6,#N/A
50,V,POTENTIAL,B3,1.03,3.49,0,2,152,6,6,6,#N/A
51,III,POTENTIAL,B1,0.71,3.3,0,6,174,6.33,7,7,#N/A
52,V,POTENTIAL,B2,0.99,3.45,1,23,189,6.33,6.33,7,#N/A
53,V,POTENTIAL,B2,1.31,3.86,1,6,213,7,7,7,97.78
