Date,Open,High,Low,Close,Adj Close,Volume
1/1/2006,2.9,3.06,2.87,3,1.779001,16618
1/8/2006,3.04,3.08,2.98,3.02,1.79086,26433
1/15/2006,3.02,3.16,2.98,3.14,1.862021,20026
1/22/2006,3.12,3.16,3.04,3.16,1.873881,19599
1/29/2006,3.16,3.46,3.16,3.36,2.002168,17598
2/5/2006,3.4,3.68,3.4,3.6,2.14518,42179
2/12/2006,3.6,3.98,3.6,3.68,2.192851,42236
2/19/2006,3.64,3.7,3.5,3.68,2.192851,24057
2/26/2006,3.72,4,3.7,3.92,2.335863,18928
3/5/2006,3.96,4,3.6,3.64,2.169015,29027
3/12/2006,3.7,3.94,3.7,3.76,2.240522,19632
3/19/2006,3.76,3.82,3.72,3.74,2.228604,18135
3/26/2006,3.78,4,3.78,4,2.383533,26264
4/2/2006,4,4.78,3.96,4.4,2.621887,42306
4/9/2006,4.38,4.5,4.18,4.18,2.490793,30519
4/16/2006,4.16,4.5,4.14,4.46,2.65764,26705
4/23/2006,4.48,4.48,4.24,4.3,2.562299,4004524
4/30/2006,4.3,4.56,4.2,4.54,2.714566,21883
5/7/2006,4.7,4.94,4.6,4.9,2.929816,22245
5/14/2006,4.84,4.84,4.24,4.32,2.583022,15525166
5/21/2006,4.34,4.36,3.82,3.9,2.331894,73964
5/28/2006,3.98,4.06,3.84,3.98,2.379729,8057545
6/4/2006,4,4.04,3.44,3.6,2.152518,71854
6/11/2006,3.56,3.56,3.1,3.52,2.104685,105303
6/18/2006,3.5,3.58,3.14,3.34,1.997058,54773
6/25/2006,3.34,3.58,3.24,3.52,2.104685,53123
7/2/2006,3.54,3.8,3.44,3.7,2.21231,45141
7/9/2006,3.64,3.74,3.34,3.42,2.044892,33471
7/16/2006,3.32,3.44,3.26,3.32,1.985101,34620
7/23/2006,3.3,3.7,3.24,3.6,2.152518,13873843
7/30/2006,3.66,3.9,3.66,3.8,2.272103,38729
8/6/2006,3.86,3.98,3.78,3.88,2.319936,21057
8/13/2006,3.84,4.2,3.84,4.08,2.439521,29141
8/20/2006,4.1,4.14,3.92,3.98,2.379729,18464
8/27/2006,3.96,4.02,3.88,4,2.391686,20188
9/3/2006,4,4.16,4,4.08,2.439521,15740
9/10/2006,4.08,4.26,4.02,4.2,2.511271,24825
9/17/2006,4.26,4.3,4.18,4.24,2.535187,14012
9/24/2006,4.28,4.44,4.24,4.44,2.654773,23269
10/1/2006,4.36,4.68,4.28,4.64,2.774357,26470
10/8/2006,4.64,4.66,4.44,4.48,2.751187,22580
10/15/2006,4.48,4.56,4.38,4.54,2.788034,18189
10/22/2006,4.52,4.66,4.48,4.58,2.812598,13618
10/29/2006,4.62,4.76,4.5,4.76,2.93607,15321
11/5/2006,4.7,5.35,4.64,5.25,3.238313,31749
11/12/2006,5.2,5.5,5.05,5.15,3.176632,33407
11/19/2006,5.2,5.55,5.15,5.45,3.361677,25734
11/26/2006,5.4,5.45,5.05,5.35,3.299995,18528
12/3/2006,5.35,5.35,5.1,5.1,3.14579,2097416
12/10/2006,5.2,5.3,5.1,5.3,3.269154,13264
12/17/2006,5.35,5.5,5.2,5.4,3.330836,11417
12/24/2006,5.4,5.8,5.35,5.7,3.515882,10787
12/31/2006,5.7,5.95,5.6,5.65,3.485041,14075
1/7/2007,5.7,6,5.45,5.9,3.639246,24796
1/14/2007,5.95,6.5,5.75,6.5,4.009341,27356
1/21/2007,6.6,7.15,6.45,6.65,4.101863,4971308
1/28/2007,6.75,7.1,6.6,7,4.317751,1919687
2/4/2007,6.95,7.15,6.75,7.1,4.392644,2052513
2/11/2007,7,7,6.5,6.7,4.145171,25866
2/18/2007,6.7,7.6,6.7,7.6,4.701985,8680442
2/25/2007,7.55,7.65,6.3,6.5,4.021433,65295
3/4/2007,6.2,6.75,5.8,6.5,4.021433,59827
3/11/2007,6.7,6.7,5.9,6.05,3.743027,46818
3/18/2007,6.05,6.5,5.95,6.35,3.928632,30399
3/25/2007,6.3,6.6,6.25,6.55,4.052368,24061
4/1/2007,6.6,6.95,6.55,6.95,4.299841,21787
4/8/2007,6.95,7.5,6.95,7.15,4.423578,36424
4/15/2007,7.25,7.25,6.8,7.15,4.423578,29484
4/22/2007,7.3,7.45,7.05,7.45,4.609182,23305
4/29/2007,7.5,7.6,7.2,7.3,4.528959,14052
5/6/2007,7.35,7.45,7.15,7.25,4.49794,4389098
5/13/2007,7.4,7.55,7.3,7.4,4.591001,4520861
5/20/2007,7.5,7.7,7.35,7.45,4.622022,18343
5/27/2007,7.55,7.9,7.3,7.85,4.870183,18276
6/3/2007,8,8.9,8,8.65,5.366508,32602
6/10/2007,8.85,10.3,8.8,9.95,6.173036,11016035
6/17/2007,10.4,10.5,9.8,10.1,6.266096,21794
6/24/2007,10.1,10.2,9.3,9.8,6.079973,27030
7/1/2007,9.75,10.4,9.6,10.1,6.266096,15688
7/8/2007,10.3,10.3,9.85,10.2,6.328137,18693
7/15/2007,10.2,10.3,9.9,10.3,6.390179,16328
7/22/2007,10.1,10.9,9.8,10.1,6.266096,37108
7/29/2007,9.95,10.2,9.1,9.55,5.924873,53126
8/5/2007,9.25,9.75,9,9.2,5.707732,28179
8/12/2007,9.35,9.65,7.65,8.3,5.149365,71479
8/19/2007,8.7,9.65,8.45,9.45,5.862831,10196483
8/26/2007,9.7,9.75,9.05,9.75,6.048954,4216254
9/2/2007,9.8,10.3,9.7,10.3,6.390179,25890
9/9/2007,9.85,11,9.7,10.7,6.638338,10772724
9/16/2007,10.7,11.8,10.1,11.7,7.258746,34567
9/23/2007,11.8,13.9,11.7,12.9,8.003235,62445
